
-------------------------------------------------------------------------------
   ROBOCOPY     ::     Robust File Copy for Windows                              
-------------------------------------------------------------------------------

  Started : September 5, 2026 9:41:09 PM
   Source : C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\
     Dest : X:\SKYRIM\STOCK GAME\

    Files : *.*
	    
  Options : *.* /TEE /S /E /DCOPY:DA /COPY:DAT /J /NP /MT:8 /R:2 /W:2 

------------------------------------------------------------------------------

	    New File  		  34.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse053-ba_leather.bsa
	    New File  		  115734	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse053-ba_leather.esl
	    New File  		  41.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse054-ba_orcish.bsa
	    New File  		   25666	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse054-ba_orcish.esl
	    New File  		  41.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse055-ba_orcishscaled.bsa
	    New File  		   29220	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse055-ba_orcishscaled.esl
	    New File  		  45.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse056-ba_silver.bsa
	    New File  		  114511	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse056-ba_silver.esl
	    New File  		  27.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse057-ba_stalhrim.bsa
	    New File  		  176136	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse057-ba_stalhrim.esl
	    New File  		  48.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse058-ba_steel.bsa
	    New File  		  120621	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse058-ba_steel.esl
	    New File  		  52.8 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse059-ba_dragonplate.bsa
	    New File  		  131189	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse059-ba_dragonplate.esl
	    New File  		  38.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse060-ba_dragonscale.bsa
	    New File  		  116459	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse060-ba_dragonscale.esl
	    New File  		  37.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse061-ba_dwarven.bsa
	    New File  		  111160	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse061-ba_dwarven.esl
	    New File  		  31.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse062-ba_dwarvenmail.bsa
